forest_type,mean_biomass,median_biomass,mean_severity,median_severity,q25_biomass,q75_biomass,var_biomass,skew_biomass,kurt_biomass,p_normality,n_pixels,hex_ID
1,43.63136456211813,43,-2806.291460460655,-2648.7476806640625,24,63,541.9740611330141,0.13340449195577267,-1.0198975552219132,1.0164187085548997e-18,982,21
3,29.346534653465348,21,-2799.427406839805,-2647.03271484375,12,41,525.9687128712872,0.955851500451855,-0.11577046935517502,7.5815995024279e-10,101,21
2,19.844827586206897,19.5,-3069.23392460264,-3216.8319091796875,5,32,300.0632183908046,1.3377192581660786,2.7778828747501545,6.187770883934627e-6,58,21
1,71.77980665950591,72,-2756.472995516309,-2696.4326171875,54,90,553.5783444787082,-0.12563474927173612,-0.5636892123644156,1.8974939147076135e-5,931,22
3,73.22,73,-2917.8117164611817,-2888.0682373046875,54,96,657.0843107769424,-0.12178881119552368,-0.9286032923873814,1.503552820049941e-7,400,22
2,75.87704918032787,75.5,-2781.5694785196274,-2644.7205810546875,59,92.5,564.6211217992142,0.02547073516803157,-1.0074456023462743,0.019399734642269878,122,22
1,54.68557817236899,55,-3743.400040274216,-3648.01171875,36,74,623.2823785758839,-0.02076550368501076,-0.60557641419564745,1.867260070371631e-9,2309,23
3,48.302083333333336,49.5,-3135.982601801554,-2843.8455810546875,29,68.25,670.1805191972077,-0.022295200184935648,-0.7418728782877253,0.021317942102233534,192,23
2,49.666666666666664,48.5,-3060.402391221788,-2410.9912109375,40.25,60.5,431.24528301886795,-0.05937968005716865,0.269796921798372,0.14025149575835189,54,23
1,35.75,34.5,-2896.118166923523,-2857.2164306640625,14,56,579.1338582677165,0.18885558142822623,-1.236184292960844,1.3851217422405844e-5,128,24
3,42.73913043478261,42.5,-2886.607076893682,-2951.7813720703125,21.25,62.75,592.6859903381643,0.1140339277087976,-1.175138682741964,0.04631137610524454,46,24
2,52.93333333333333,63,-2891.214152018229,-2824.55517578125,26.75,77.25,894.2022988505747,-0.528853515180846,-1.1023245300972528,0.006295444117225104,30,24
1,30.583333333333332,29.5,-3597.7842712402344,-3482.3529052734375,21,38,261.17424242424244,0.2721327083965614,-0.40637720032330005,0.680141106728538,12,25
